Latitude (decimal degrees): 52.054
Longitude (decimal degrees): 5.045
Elevation (m): -1.0
month,year
1,2009
2,2014
3,2008
4,2015
5,2008
6,2015
7,2014
8,2010
9,2008
10,2011
11,2008
12,2011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,3.54,90.32,0.0,-0.0,0.0,307.8,4.24,329.0,102792.0
20090101:0100,2.26,89.26,0.0,-0.0,0.0,298.52,3.58,328.0,102832.0
20090101:0200,0.99,88.21,0.0,-0.0,0.0,289.24,2.93,327.0,102872.0
20090101:0300,-0.28,87.16,0.0,-0.0,0.0,279.96,2.27,313.0,102862.0
20090101:0400,-1.56,86.11,0.0,-0.0,0.0,270.67,1.61,298.0,102852.0
20090101:0500,-2.83,85.06,0.0,-0.0,0.0,261.39,0.95,283.0,102842.0
20090101:0600,-4.11,84.01,0.0,-0.0,0.0,252.11,0.29,275.0,102869.0
20090101:0700,-5.38,82.95,0.0,-0.0,0.0,242.83,-0.37,267.0,102896.0
20090101:0800,-1.52,81.41,0.0,0.0,0.0,278.35,0.79,259.0,102922.0
20090101:0900,-0.72,82.36,25.0,0.0,25.0,280.45,0.74,260.0,102922.0
20090101:1000,0.09,83.32,25.0,0.0,25.0,282.55,0.69,262.0,102922.0
20090101:1100,0.89,84.27,29.0,0.0,29.0,284.65,0.63,263.0,102922.0
20090101:1200,0.25,86.55,20.0,0.0,20.0,281.52,0.8,252.0,102929.0
20090101:1300,-0.39,88.83,44.0,0.0,44.0,278.38,0.97,241.0,102936.0
20090101:1400,-1.02,91.11,10.0,0.0,10.0,275.25,1.14,230.0,102942.0
20090101:1500,-1.37,91.95,1.0,24.6,0.0,280.88,1.16,233.0,102926.0
20090101:1600,-1.72,92.8,0.0,-0.0,0.0,286.52,1.18,236.0,102909.0
20090101:1700,-2.06,93.64,0.0,-0.0,0.0,292.15,1.2,239.0,102892.0
20090101:1800,-1.98,93.49,0.0,-0.0,0.0,295.53,1.31,238.0,102879.0
20090101:1900,-1.89,93.35,0.0,-0.0,0.0,298.92,1.43,238.0,102866.0
20090101:2000,-1.8,93.2,0.0,-0.0,0.0,302.3,1.54,238.0,102852.0
20090101:2100,-1.76,93.13,0.0,-0.0,0.0,302.75,1.64,240.0,102829.0
20090101:2200,-1.71,93.07,0.0,-0.0,0.0,303.2,1.74,241.0,102806.0
20090101:2300,-1.67,93.0,0.0,-0.0,0.0,303.65,1.83,243.0,102782.0
20090102:0000,-1.51,92.1,0.0,-0.0,0.0,299.78,1.84,246.0,102762.0
20090102:0100,-1.34,91.2,0.0,-0.0,0.0,295.92,1.85,250.0,102742.0
20090102:0200,-1.17,90.3,0.0,-0.0,0.0,292.05,1.86,253.0,102722.0
20090102:0300,-0.98,90.62,0.0,-0.0,0.0,291.3,1.69,262.0,102709.0
20090102:0400,-0.79,90.95,0.0,-0.0,0.0,290.55,1.52,270.0,102696.0
20090102:0500,-0.59,91.27,0.0,-0.0,0.0,289.8,1.35,279.0,102682.0
20090102:0600,-0.29,90.88,0.0,-0.0,0.0,286.97,1.46,301.0,102729.0
20090102:0700,0.02,90.5,0.0,-0.0,0.0,284.13,1.57,323.0,102776.0
20090102:0800,0.32,90.11,0.0,0.0,0.0,281.3,1.68,345.0,102822.0
20090102:0900,1.2,88.65,58.75,134.29,40.2,278.7,2.53,2.0,102859.0
20090102:1000,2.09,87.2,165.0,384.0,83.0,276.1,3.38,20.0,102896.0
20090102:1100,2.97,85.74,129.55,182.67,83.25,273.5,4.23,37.0,102932.0
20090102:1200,2.4,84.36,55.0,0.0,55.0,281.83,4.09,41.0,102989.0
20090102:1300,1.84,82.98,99.55,141.6,68.6,290.17,3.94,45.0,103046.0
20090102:1400,1.28,81.6,73.0,88.95,60.0,298.5,3.79,48.0,103102.0
20090102:1500,0.67,82.48,6.75,12.84,6.2,300.0,3.73,52.0,103132.0
20090102:1600,0.06,83.37,0.0,-0.0,0.0,301.5,3.67,57.0,103162.0
20090102:1700,-0.55,84.25,0.0,-0.0,0.0,303.0,3.61,61.0,103192.0
20090102:1800,-0.98,84.61,0.0,-0.0,0.0,295.17,3.26,66.0,103206.0
20090102:1900,-1.4,84.98,0.0,-0.0,0.0,287.33,2.91,72.0,103219.0
20090102:2000,-1.83,85.34,0.0,-0.0,0.0,279.5,2.55,77.0,103232.0
20090102:2100,-2.12,86.09,0.0,-0.0,0.0,273.45,2.24,79.0,103236.0
20090102:2200,-2.42,86.83,0.0,-0.0,0.0,267.4,1.93,80.0,103239.0
20090102:2300,-2.71,87.58,0.0,-0.0,0.0,261.35,1.61,82.0,103242.0
20090103:0000,-3.12,86.28,0.0,-0.0,0.0,256.13,1.63,82.0,103199.0
20090103:0100,-3.53,84.99,0.0,-0.0,0.0,250.92,1.65,83.0,103156.0
20090103:0200,-3.94,83.69,0.0,-0.0,0.0,245.7,1.67,84.0,103112.0
20090103:0300,-4.07,81.67,0.0,-0.0,0.0,247.1,1.4,130.0,103066.0
20090103:0400,-4.2,79.66,0.0,-0.0,0.0,248.5,1.14,175.0,103019.0
20090103:0500,-4.32,77.64,0.0,-0.0,0.0,249.9,0.87,221.0,102972.0
20090103:0600,-4.08,75.84,0.0,-0.0,0.0,246.67,0.91,224.0,102942.0
20090103:0700,-3.84,74.04,0.0,-0.0,0.0,243.43,0.94,227.0,102912.0
20090103:0800,-3.61,72.24,0.0,0.0,0.0,240.2,0.98,230.0,102882.0
20090103:0900,-2.31,71.96,64.95,161.57,42.5,235.98,1.36,236.0,102839.0
20090103:1000,-1.01,71.67,43.0,0.0,43.0,231.77,1.73,243.0,102796.0
20090103:1100,0.29,71.39,134.35,194.02,84.9,227.55,2.11,249.0,102752.0
20090103:1200,-0.32,73.0,42.0,0.0,42.0,228.65,2.14,249.0,102696.0
20090103:1300,-0.93,74.6,89.25,113.14,64.3,229.75,2.17,249.0,102639.0
20090103:1400,-1.53,76.21,38.0,0.0,38.0,230.85,2.19,248.0,102582.0
20090103:1500,-1.68,76.79,9.35,22.17,8.35,228.77,2.41,251.0,102529.0
20090103:1600,-1.83,77.37,0.0,-0.0,0.0,226.68,2.63,255.0,102475.0
20090103:1700,-1.98,77.95,0.0,-0.0,0.0,224.6,2.86,258.0,102422.0
20090103:1800,-1.34,78.01,0.0,-0.0,0.0,236.83,2.97,259.0,102395.0
20090103:1900,-0.7,78.08,0.0,-0.0,0.0,249.07,3.09,261.0,102369.0
20090103:2000,-0.06,78.14,0.0,-0.0,0.0,261.3,3.2,262.0,102342.0
20090103:2100,0.19,78.26,0.0,-0.0,0.0,268.73,3.47,263.0,102299.0
20090103:2200,0.44,78.39,0.0,-0.0,0.0,276.17,3.73,263.0,102255.0
20090103:2300,0.69,78.51,0.0,-0.0,0.0,283.6,4.0,264.0,102212.0
20090104:0000,0.7,77.86,0.0,-0.0,0.0,282.07,4.12,264.0,102189.0
20090104:0100,0.71,77.22,0.0,-0.0,0.0,280.53,4.25,265.0,102165.0
