Time,Wind Speed,XANT M-26 [90kW] Power Output,
01/01/2007 00:00,5.15,19.35,19.35
01/01/2007 00:15,5.15,19.35,19.35
01/01/2007 00:30,5.15,19.35,19.35
01/01/2007 00:45,5.15,19.35,19.35
01/01/2007 01:00,4.46,12.83,12.83
01/01/2007 01:15,4.46,12.83,12.83
01/01/2007 01:30,4.46,12.83,12.83
01/01/2007 01:45,4.46,12.83,12.83
01/01/2007 02:00,4.06,9.38,9.38
01/01/2007 02:15,4.06,9.38,9.38
01/01/2007 02:30,4.06,9.38,9.38
01/01/2007 02:45,4.06,9.38,9.38
01/01/2007 03:00,1.36,0,0
01/01/2007 03:15,1.36,0,0
01/01/2007 03:30,1.36,0,0
01/01/2007 03:45,1.36,0,0
01/01/2007 04:00,1.9,0,0
01/01/2007 04:15,1.9,0,0
01/01/2007 04:30,1.9,0,0
01/01/2007 04:45,1.9,0,0
01/01/2007 05:00,2.05,0,0
01/01/2007 05:15,2.05,0,0
01/01/2007 05:30,2.05,0,0
01/01/2007 05:45,2.05,0,0
01/01/2007 06:00,1.86,0,0
01/01/2007 06:15,1.86,0,0
01/01/2007 06:30,1.86,0,0
01/01/2007 06:45,1.86,0,0
01/01/2007 07:00,3.07,4.17,4.17
01/01/2007 07:15,3.07,4.17,4.17
01/01/2007 07:30,3.07,4.17,4.17
01/01/2007 07:45,3.07,4.17,4.17
01/01/2007 08:00,3.03,3.97,3.97
01/01/2007 08:15,3.03,3.97,3.97
01/01/2007 08:30,3.03,3.97,3.97
01/01/2007 08:45,3.03,3.97,3.97
01/01/2007 09:00,2.7,0,0
01/01/2007 09:15,2.7,0,0
01/01/2007 09:30,2.7,0,0
01/01/2007 09:45,2.7,0,0
01/01/2007 10:00,4.24,10.98,10.98
01/01/2007 10:15,4.24,10.98,10.98
01/01/2007 10:30,4.24,10.98,10.98
01/01/2007 10:45,4.24,10.98,10.98
01/01/2007 11:00,2.15,0,0
01/01/2007 11:15,2.15,0,0
01/01/2007 11:30,2.15,0,0
01/01/2007 11:45,2.15,0,0
01/01/2007 12:00,1.81,0,0
01/01/2007 12:15,1.81,0,0
01/01/2007 12:30,1.81,0,0
01/01/2007 12:45,1.81,0,0
01/01/2007 13:00,2.85,0,0
01/01/2007 13:15,2.85,0,0
01/01/2007 13:30,2.85,0,0
01/01/2007 13:45,2.85,0,0
01/01/2007 14:00,2.2,0,0
01/01/2007 14:15,2.2,0,0
01/01/2007 14:30,2.2,0,0
01/01/2007 14:45,2.2,0,0
01/01/2007 15:00,4.85,16.12,16.12
01/01/2007 15:15,4.85,16.12,16.12
01/01/2007 15:30,4.85,16.12,16.12
01/01/2007 15:45,4.85,16.12,16.12
01/01/2007 16:00,5.77,27.19,27.19
01/01/2007 16:15,5.77,27.19,27.19
01/01/2007 16:30,5.77,27.19,27.19
01/01/2007 16:45,5.77,27.19,27.19
01/01/2007 17:00,5.58,24.77,24.77
01/01/2007 17:15,5.58,24.77,24.77
01/01/2007 17:30,5.58,24.77,24.77
01/01/2007 17:45,5.58,24.77,24.77
01/01/2007 18:00,3.5,6.36,6.36
01/01/2007 18:15,3.5,6.36,6.36
01/01/2007 18:30,3.5,6.36,6.36
01/01/2007 18:45,3.5,6.36,6.36
01/01/2007 19:00,5.61,25.21,25.21
01/01/2007 19:15,5.61,25.21,25.21
01/01/2007 19:30,5.61,25.21,25.21
01/01/2007 19:45,5.61,25.21,25.21
01/01/2007 20:00,6.87,45.39,45.39
01/01/2007 20:15,6.87,45.39,45.39
01/01/2007 20:30,6.87,45.39,45.39
01/01/2007 20:45,6.87,45.39,45.39
01/01/2007 21:00,5.8,27.51,27.51
01/01/2007 21:15,5.8,27.51,27.51
01/01/2007 21:30,5.8,27.51,27.51
01/01/2007 21:45,5.8,27.51,27.51
01/01/2007 22:00,3.6,6.86,6.86
01/01/2007 22:15,3.6,6.86,6.86
01/01/2007 22:30,3.6,6.86,6.86
01/01/2007 22:45,3.6,6.86,6.86
01/01/2007 23:00,4.23,10.84,10.84
01/01/2007 23:15,4.23,10.84,10.84
01/01/2007 23:30,4.23,10.84,10.84
01/01/2007 23:45,4.23,10.84,10.84
02/01/2007 00:00,4.77,15.48,15.48
02/01/2007 00:15,4.77,15.48,15.48
02/01/2007 00:30,4.77,15.48,15.48
02/01/2007 00:45,4.77,15.48,15.48
02/01/2007 01:00,4.53,13.4,13.4
02/01/2007 01:15,4.53,13.4,13.4
02/01/2007 01:30,4.53,13.4,13.4
02/01/2007 01:45,4.53,13.4,13.4
02/01/2007 02:00,5.52,24.06,24.06
02/01/2007 02:15,5.52,24.06,24.06
02/01/2007 02:30,5.52,24.06,24.06
02/01/2007 02:45,5.52,24.06,24.06
02/01/2007 03:00,3.07,4.14,4.14
02/01/2007 03:15,3.07,4.14,4.14
02/01/2007 03:30,3.07,4.14,4.14
02/01/2007 03:45,3.07,4.14,4.14
02/01/2007 04:00,4.5,13.15,13.15
02/01/2007 04:15,4.5,13.15,13.15
02/01/2007 04:30,4.5,13.15,13.15
02/01/2007 04:45,4.5,13.15,13.15
02/01/2007 05:00,7.6,59.13,59.13
02/01/2007 05:15,7.6,59.13,59.13
02/01/2007 05:30,7.6,59.13,59.13
