,Chargers,Battery capacity
0,1,0.0
0,1,100.0
0,1,200.0
0,1,300.0
0,1,400.0
0,1,500.0
0,1,600.0
0,1,700.0
0,1,800.0
0,1,900.0
0,1,1000.0
0,1,1100.0
0,1,1200.0
0,1,1300.0
0,1,1400.0
0,1,1500.0
0,1,1600.0
0,1,1700.0
0,1,1800.0
0,1,1900.0
0,1,2000.0
0,2,0.0
0,2,100.0
0,2,200.0
0,2,300.0
0,2,400.0
0,2,500.0
0,2,600.0
0,2,700.0
0,2,800.0
0,2,900.0
0,2,1000.0
0,2,1100.0
0,2,1200.0
0,2,1300.0
0,2,1400.0
0,2,1500.0
0,2,1600.0
0,2,1700.0
0,2,1800.0
0,2,1900.0
0,2,2000.0
0,3,0.0
0,3,100.0
0,3,200.0
0,3,300.0
0,3,400.0
0,3,500.0
0,3,600.0
0,3,700.0
0,3,800.0
0,3,900.0
0,3,1000.0
0,3,1100.0
0,3,1200.0
0,3,1300.0
0,3,1400.0
0,3,1500.0
0,3,1600.0
0,3,1700.0
0,3,1800.0
0,3,1900.0
0,3,2000.0
0,4,0.0
0,4,100.0
0,4,200.0
0,4,300.0
0,4,400.0
0,4,500.0
0,4,600.0
0,4,700.0
0,4,800.0
0,4,900.0
0,4,1000.0
0,4,1100.0
0,4,1200.0
0,4,1300.0
0,4,1400.0
0,4,1500.0
0,4,1600.0
0,4,1700.0
0,4,1800.0
0,4,1900.0
0,4,2000.0
