T2m,WS10m
2.24,3.57
1.87,3.54
1.5,3.51
1.12,3.48
1.04,3.6
0.95,3.73
0.87,3.86
1.12,4.36
1.38,4.86
1.63,5.35
2.61,5.26
3.6,5.17
4.58,5.08
4.65,5.15
4.72,5.22
4.79,5.3
4.72,5.6
4.64,5.9
4.57,6.21
4.71,6.66
4.85,7.11
5,7.56
5.06,7.79
5.13,8.03
5.19,8.26
5.83,8.4
6.47,8.54
7.1,8.68
7.7,8.62
8.29,8.56
8.89,8.5
9.07,7.83
9.24,7.16
9.42,6.5
8.89,6.47
8.35,6.45
7.82,6.43
7.71,6.33
7.61,6.23
7.5,6.12
6.96,6.06
6.41,6
5.87,5.93
5.56,5.77
5.25,5.62
4.95,5.46
4.79,4.97
4.64,4.49
4.48,4
4.51,4.08
4.55,4.17
4.58,4.25
4.57,4.57
4.56,4.9
4.55,5.23
4.47,5.11
4.38,4.99
4.3,4.87
4.05,4.69
3.81,4.51
3.56,4.33
3.44,3.83
3.32,3.32
3.19,2.81
3.01,2.72
2.82,2.63
2.64,2.54
2.96,2.98
3.28,3.42
3.6,3.86
3.67,3.79
3.75,3.71
3.82,3.64
3.63,3.69
3.44,3.74
3.25,3.79
3.11,3.66
2.96,3.52
2.82,3.38
2.97,3.3
3.12,3.22
3.27,3.14
4.38,3.27
5.48,3.39
6.59,3.52
6.11,3.32
5.64,3.13
5.16,2.94
4.23,2.91
3.3,2.88
2.37,2.86
1.99,2.85
1.61,2.85
1.23,2.84
1.11,3.15
0.99,3.47
0.87,3.78
0.74,3.53
0.61,3.28
0.48,3.03
0.37,3.3
0.25,3.56
0.14,3.82
0.33,3.82
0.52,3.81
0.71,3.81
1.8,3.83
2.88,3.86
3.97,3.89
4.13,3.58
4.29,3.27
4.45,2.97
4.3,2.97
4.16,2.97
4.01,2.98
3.91,2.84
3.81,2.69
3.72,2.55
3.59,2.53
3.47,2.51
3.35,2.5
2.61,2.57
1.87,2.63
1.12,2.7
0.74,2.57
0.35,2.43
-0.04,2.29
-0.11,2.39
-0.19,2.49
